YIL;BÖLGE KODU;BÖLGE ADI;Belediye atık istatistikleri : Toplanan atık miktarı (1000 ton)
1998;TR100;İstanbul;6074
2001;TR100;İstanbul;6112
2002;TR100;İstanbul;5231
2003;TR100;İstanbul;5375
2004;TR100;İstanbul;4471
2006;TR100;İstanbul;4772
2008;TR100;İstanbul;5215
2010;TR100;İstanbul;5731
2012;TR100;İstanbul;5671
2014;TR100;İstanbul;6065
2016;TR100;İstanbul;7035
2018;TR100;İstanbul;7043
2020;TR100;İstanbul;6959
2022;TR100;İstanbul;6553
1998;TR211;Tekirdağ;349
2001;TR211;Tekirdağ;392
2002;TR211;Tekirdağ;425
2003;TR211;Tekirdağ;414
2004;TR211;Tekirdağ;416
2006;TR211;Tekirdağ;371
2008;TR211;Tekirdağ;372
2010;TR211;Tekirdağ;376
2012;TR211;Tekirdağ;395
2014;TR211;Tekirdağ;397
2016;TR211;Tekirdağ;486
2018;TR211;Tekirdağ;500
2020;TR211;Tekirdağ;452
2022;TR211;Tekirdağ;485
1998;TR212;Edirne;127
2001;TR212;Edirne;112
2002;TR212;Edirne;130
2003;TR212;Edirne;157
2004;TR212;Edirne;155
2006;TR212;Edirne;171
2008;TR212;Edirne;193
2010;TR212;Edirne;194
2012;TR212;Edirne;224
2014;TR212;Edirne;199
2016;TR212;Edirne;179
2018;TR212;Edirne;155
2020;TR212;Edirne;155
2022;TR212;Edirne;148
1998;TR213;Kırklareli;114
2001;TR213;Kırklareli;107
2002;TR213;Kırklareli;126
2003;TR213;Kırklareli;125
2004;TR213;Kırklareli;123
2006;TR213;Kırklareli;138
2008;TR213;Kırklareli;137
2010;TR213;Kırklareli;144
2012;TR213;Kırklareli;78
2014;TR213;Kırklareli;130
2016;TR213;Kırklareli;129
2018;TR213;Kırklareli;127
2020;TR213;Kırklareli;127
2022;TR213;Kırklareli;112
1998;TR221;Balıkesir;563
2001;TR221;Balıkesir;411
2002;TR221;Balıkesir;446
2003;TR221;Balıkesir;485
2004;TR221;Balıkesir;505
2006;TR221;Balıkesir;503
2008;TR221;Balıkesir;415
2010;TR221;Balıkesir;445
2012;TR221;Balıkesir;457
2014;TR221;Balıkesir;536
2016;TR221;Balıkesir;665
2018;TR221;Balıkesir;665
2020;TR221;Balıkesir;511
2022;TR221;Balıkesir;445
1998;TR222;Çanakkale;190
2001;TR222;Çanakkale;180
2002;TR222;Çanakkale;189
2003;TR222;Çanakkale;197
2004;TR222;Çanakkale;186
2006;TR222;Çanakkale;177
2008;TR222;Çanakkale;152
2010;TR222;Çanakkale;155
2012;TR222;Çanakkale;166
2014;TR222;Çanakkale;175
2016;TR222;Çanakkale;220
2018;TR222;Çanakkale;262
2020;TR222;Çanakkale;257
2022;TR222;Çanakkale;257
1998;TR310;İzmir;1464
2001;TR310;İzmir;1455
2002;TR310;İzmir;1332
2003;TR310;İzmir;1329
2004;TR310;İzmir;1440
2006;TR310;İzmir;1342
2008;TR310;İzmir;1351
2010;TR310;İzmir;1686
2012;TR310;İzmir;1613
2014;TR310;İzmir;1660
2016;TR310;İzmir;2026
2018;TR310;İzmir;2132
2020;TR310;İzmir;2337
2022;TR310;İzmir;1983
1998;TR321;Aydın;341
2001;TR321;Aydın;357
2002;TR321;Aydın;405
2003;TR321;Aydın;425
2004;TR321;Aydın;444
2006;TR321;Aydın;419
2008;TR321;Aydın;374
2010;TR321;Aydın;343
2012;TR321;Aydın;346
2014;TR321;Aydın;431
2016;TR321;Aydın;547
2018;TR321;Aydın;479
2020;TR321;Aydın;485
2022;TR321;Aydın;456
1998;TR322;Denizli;351
2001;TR322;Denizli;329
2002;TR322;Denizli;356
2003;TR322;Denizli;358
2004;TR322;Denizli;270
2006;TR322;Denizli;299
2008;TR322;Denizli;280
2010;TR322;Denizli;280
2012;TR322;Denizli;306
2014;TR322;Denizli;361
2016;TR322;Denizli;401
2018;TR322;Denizli;402
